XCoord,YCoord,FID,REQUESTID,REQCAT,DESC,DATEINIT,STATUS,DATECLOSED,CANCEL,PROBCODE,SHOP,TILENO,DOMAINID,SRX,SRY
-84.56270565,42.68442129,30,111931,SEWER,CAVE IN,2017-06-26 00:00:00,CLOSED,2017-06-26 00:00:00,N,CAVE IN,LG-33,2,2,13070653.020000,431693.020000
-84.59349983,42.67709254,31,111941,SEWER,CAVE IN,2017-06-26 00:00:00,CLOSED,2017-06-26 00:00:00,N,CAVE IN,DI-06,3,2,13062366.390000,429043.040000
-84.53696028,42.72291098,32,111959,SEWER,PLUGGED CB-CLVRT,2017-06-27 00:00:00,CLOSED,2017-07-20 00:00:00,N,PLUGGED CB-CLVRT,LG-22,1,2,13077603.390000,445704.590000
-84.55721834,42.74504399,33,111974,SEWER,SEW-WTR IN BSMNT,2017-06-28 00:00:00,CLOSED,2017-06-29 00:00:00,N,SEW-WTR IN BSMNT,LG-09,4,2,13072178.360000,453782.120000
-84.56224425,42.75155932,34,111992,SEWER,CB-MH COVER,2017-06-29 00:00:00,CLOSED,2017-07-11 00:00:00,N,CB-MH COVER,LG-09,4,2,13070833.910000,456159.580000
-84.52597791,42.74086104,35,112012,SEWER,CB-MH COVER,2017-06-30 00:00:00,CLOSED,2017-06-30 00:00:00,N,CB-MH COVER,LG-15,1,2,13080566.700000,452240.300000
-84.52597373,42.74317580,36,112053,SEWER,SEWER PROBLEM,2017-07-05 00:00:00,CLOSED,2017-07-10 00:00:00,N,SEWER PROBLEM,LG-10,1,2,13080569.420000,453083.860000
-84.58779229,42.70876839,37,112074,SEWER,CB-MH COVER,2017-07-06 00:00:00,CLOSED,2017-07-10 00:00:00,N,CB-MH COVER,LG-30,3,2,13063931.440000,440582.420000
-84.52285912,42.73303813,38,112080,SEWER,SEWER ODOR,2017-07-06 00:00:00,CLOSED,2017-07-10 00:00:00,N,SEWER ODOR,LG-14,1,2,13081399.180000,449387.850000
-84.53798292,42.72984511,39,112085,SEWER,CAVE IN,2017-07-07 00:00:00,CLOSED,2017-07-14 00:00:00,N,CAVE IN,LG-15,1,2,13077333.750000,448232.130000
-84.53477372,42.73225080,40,112114,SEWER,WATER ON ROAD,2017-07-10 00:00:00,CLOSED,2017-07-11 00:00:00,N,WATER ON ROAD,LG-15,1,2,13078197.710000,449107.090000
-84.54465683,42.70095132,41,112124,SEWER,CB-MH COVER,2017-07-10 00:00:00,CLOSED,2017-07-11 00:00:00,N,CB-MH COVER,LG-28,2,2,13075518.430000,437706.200000
-84.55200972,42.72161859,42,112138,SEWER,SEWER ODOR,2017-07-11 00:00:00,CLOSED,2017-07-11 00:00:00,N,SEWER ODOR,LG-21,1,2,13073558.610000,445242.150000
-84.58856421,42.71338043,43,112140,SEWER,PLUGGED CB-CLVRT,2017-07-11 00:00:00,CLOSED,2017-07-11 00:00:00,N,PLUGGED CB-CLVRT,LG-19,4,2,13063728.410000,442263.710000
-84.54768060,42.67655800,44,112141,SEWER,CB-MH COVER,2017-07-11 00:00:00,CLOSED,2017-09-08 00:00:00,N,CB-MH COVER,DI-04,2,2,13074686.550000,428818.400000
-84.56638204,42.69415947,45,112148,SEWER,CAVE IN,2017-07-11 00:00:00,CLOSED,2017-07-12 00:00:00,N,CAVE IN,LG-32,2,2,13069672.990000,435244.180000
-84.57972025,42.70646187,46,112165,SEWER,DRAINAGE PROBLEM,2017-07-12 00:00:00,CLOSED,2017-07-12 00:00:00,N,DRAINAGE PROBLEM,LG-29,4,2,13066098.740000,439736.270000
-84.50999988,42.70244421,47,112181,SEWER,WATER ON ROAD,2017-07-12 00:00:00,CLOSED,2017-07-14 00:00:00,N,WATER ON ROAD,LG-26,2,2,13084834.880000,438232.470000
